"","Price"
"2018-06-15",14500
"2018-06-18",14550
"2018-06-19",14250
"2018-06-20",14200
"2018-06-21",14100
"2018-06-22",13550
"2018-06-25",13800
"2018-06-26",13900
"2018-06-27",14250
"2018-06-28",14200
"2018-06-29",13850
"2018-07-02",13800
"2018-07-03",13550
"2018-07-04",13800
"2018-07-05",13800
"2018-07-06",13800
"2018-07-09",13850
"2018-07-10",13700
"2018-07-11",14350
"2018-07-12",13950
"2018-07-13",13850
"2018-07-16",13700
"2018-07-17",13750
"2018-07-18",13750
"2018-07-19",13400
"2018-07-20",13250
"2018-07-23",13200
"2018-07-24",13050
"2018-07-25",12650
"2018-07-26",12650
"2018-07-27",12900
"2018-07-30",12950
"2018-07-31",12750
"2018-08-01",12850
"2018-08-02",12850
"2018-08-03",12950
"2018-08-06",12850
"2018-08-07",13100
"2018-08-08",13200
"2018-08-09",13450
"2018-08-10",13500
"2018-08-13",13400
"2018-08-14",13100
"2018-08-16",13450
"2018-08-17",13600
"2018-08-20",13450
"2018-08-21",13500
"2018-08-22",13600
"2018-08-23",13650
"2018-08-24",13700
"2018-08-27",13550
"2018-08-28",13350
"2018-08-29",13300
"2018-08-30",13400
"2018-08-31",13750
"2018-09-03",13600
"2018-09-04",13500
"2018-09-05",13500
"2018-09-06",13150
"2018-09-07",13250
"2018-09-10",13250
"2018-09-11",13200
"2018-09-12",13350
"2018-09-13",13400
"2018-09-14",13350
"2018-09-17",13000
"2018-09-18",13000
"2018-09-19",13250
"2018-09-20",13100
"2018-09-21",12950
"2018-09-27",13100
"2018-09-28",13000
"2018-10-01",13000
"2018-10-02",12950
"2018-10-04",13000
"2018-10-05",13100
"2018-10-08",13050
"2018-10-10",12600
"2018-10-11",11950
"2018-10-12",12500
"2018-10-15",12400
"2018-10-16",12050
"2018-10-17",12100
"2018-10-18",12100
"2018-10-19",12100
"2018-10-22",11600
"2018-10-23",11400
"2018-10-24",11450
"2018-10-25",11100
"2018-10-26",11000
"2018-10-29",10700
"2018-10-30",11300
"2018-10-31",11850
"2018-11-01",11500
"2018-11-02",12000
"2018-11-05",11500
"2018-11-06",11550
"2018-11-07",11300
"2018-11-08",11700
"2018-11-09",11650
"2018-11-12",11500
"2018-11-13",11600
"2018-11-14",11100
"2018-11-15",11250
"2018-11-16",11300
"2018-11-19",11650
"2018-11-20",11450
"2018-11-21",11450
"2018-11-22",11450
"2018-11-23",11050
"2018-11-26",11200
"2018-11-27",11200
"2018-11-28",11150
"2018-11-29",11150
"2018-11-30",11250
"2018-12-03",11250
"2018-12-04",11100
"2018-12-05",11100
"2018-12-06",10900
"2018-12-07",10950
"2018-12-10",10600
"2018-12-11",10400
"2018-12-12",10500
"2018-12-13",10500
"2018-12-14",10600
"2018-12-17",10500
"2018-12-18",10450
"2018-12-19",11400
"2018-12-20",11000
"2018-12-21",10950
"2018-12-24",11100
"2018-12-26",10850
"2018-12-27",10900
"2018-12-28",10800
"2019-01-02",10950
"2019-01-03",11150
"2019-01-04",11000
"2019-01-07",11100
"2019-01-08",11000
"2019-01-09",11300
"2019-01-10",11300
"2019-01-11",11300
"2019-01-14",11200
"2019-01-15",11350
"2019-01-16",11400
"2019-01-17",11150
"2019-01-18",11100
"2019-01-21",11150
"2019-01-22",11350
"2019-01-23",11350
"2019-01-24",11450
"2019-01-25",11200
"2019-01-28",11200
"2019-01-29",11100
"2019-01-30",10950
"2019-01-31",11000
"2019-02-01",11050
"2019-02-07",10950
"2019-02-08",10950
"2019-02-11",10900
"2019-02-12",10950
"2019-02-13",11000
"2019-02-14",11150
"2019-02-15",11200
"2019-02-18",11250
"2019-02-19",11400
"2019-02-20",11350
"2019-02-21",11400
"2019-02-22",11400
"2019-02-25",11450
"2019-02-26",11400
"2019-02-27",11350
"2019-02-28",11250
"2019-03-04",11200
"2019-03-05",11200
"2019-03-06",11250
"2019-03-07",11400
"2019-03-08",11400
"2019-03-11",11250
"2019-03-12",11350
"2019-03-13",11400
"2019-03-14",11100
"2019-03-15",10900
"2019-03-18",10800
"2019-03-19",10750
"2019-03-20",10700
"2019-03-21",10700
"2019-03-22",10650
"2019-03-25",9990
"2019-03-26",10200
"2019-03-27",10100
"2019-03-28",10000
"2019-03-29",10050
"2019-04-01",10250
"2019-04-02",10250
"2019-04-03",10250
"2019-04-04",10250
"2019-04-05",10300
"2019-04-08",10600
"2019-04-09",10600
"2019-04-10",10700
"2019-04-11",10800
"2019-04-12",11100
"2019-04-15",11200
"2019-04-16",11150
"2019-04-17",11100
"2019-04-18",11050
"2019-04-19",11350
"2019-04-22",11200
"2019-04-23",11200
"2019-04-24",11200
"2019-04-25",11250
"2019-04-26",11100
"2019-04-29",11150
"2019-04-30",11200
"2019-05-02",11300
"2019-05-03",11400
"2019-05-07",11400
"2019-05-08",11250
"2019-05-09",10950
"2019-05-10",10750
"2019-05-13",10700
"2019-05-14",10900
"2019-05-15",10700
"2019-05-16",10500
"2019-05-17",10500
"2019-05-20",10500
"2019-05-21",10450
"2019-05-22",10450
"2019-05-23",10600
"2019-05-24",10700
"2019-05-27",10600
"2019-05-28",10650
"2019-05-29",10500
"2019-05-30",10500
"2019-05-31",10500
"2019-06-03",10400
"2019-06-04",10550
"2019-06-05",10700
"2019-06-07",10500
"2019-06-10",10700
"2019-06-11",10800
"2019-06-12",10600
"2019-06-13",10800
"2019-06-14",10800
"2019-06-17",10600
"2019-06-18",10550
"2019-06-19",10550
"2019-06-20",10600
"2019-06-21",10550
"2019-06-24",10500
"2019-06-25",10550
"2019-06-26",10500
"2019-06-27",10450
"2019-06-28",10450
"2019-07-01",10400
"2019-07-02",10450
"2019-07-03",10450
"2019-07-04",10450
"2019-07-05",10350
"2019-07-08",10150
"2019-07-09",10100
"2019-07-10",10300
"2019-07-11",10400
"2019-07-12",10450
"2019-07-15",10400
"2019-07-16",10250
"2019-07-17",10150
"2019-07-18",10050
"2019-07-19",10200
"2019-07-22",10100
"2019-07-23",10100
"2019-07-24",10600
"2019-07-25",10250
"2019-07-26",10150
"2019-07-29",9980
"2019-07-30",9990
"2019-07-31",9990
"2019-08-01",10000
"2019-08-02",9990
"2019-08-05",9730
"2019-08-06",9630
"2019-08-07",9600
"2019-08-08",9720
"2019-08-09",10000
"2019-08-12",10050
"2019-08-13",9830
"2019-08-14",9960
"2019-08-16",9780
"2019-08-19",9730
"2019-08-20",9780
"2019-08-21",9830
"2019-08-22",9840
"2019-08-23",9800
"2019-08-26",9650
"2019-08-27",9670
"2019-08-28",9710
"2019-08-29",9680
"2019-08-30",9780
"2019-09-02",9750
"2019-09-03",9610
"2019-09-04",9600
"2019-09-05",9590
"2019-09-06",9620
"2019-09-09",9610
"2019-09-10",9560
"2019-09-11",9810
"2019-09-16",9850
"2019-09-17",9860
"2019-09-18",9860
"2019-09-19",9930
"2019-09-20",9960
"2019-09-23",9960
"2019-09-24",10000
"2019-09-25",9930
