"","Price"
"2017-09-07",14450
"2017-09-08",14450
"2017-09-11",14650
"2017-09-12",14450
"2017-09-13",14450
"2017-09-14",14550
"2017-09-15",14200
"2017-09-18",13800
"2017-09-19",13700
"2017-09-20",13550
"2017-09-21",13700
"2017-09-22",13450
"2017-09-25",13500
"2017-09-26",14000
"2017-09-27",14050
"2017-09-28",14250
"2017-09-29",14100
"2017-10-10",13900
"2017-10-11",14300
"2017-10-12",14000
"2017-10-13",14200
"2017-10-16",13950
"2017-10-17",13950
"2017-10-18",14100
"2017-10-19",14500
"2017-10-20",14250
"2017-10-23",13900
"2017-10-24",13850
"2017-10-25",14050
"2017-10-26",14400
"2017-10-27",14450
"2017-10-30",14550
"2017-10-31",14550
"2017-11-01",14650
"2017-11-02",15000
"2017-11-03",15000
"2017-11-06",15000
"2017-11-07",14700
"2017-11-08",14800
"2017-11-09",14800
"2017-11-10",14500
"2017-11-13",14450
"2017-11-14",14450
"2017-11-15",14500
"2017-11-16",14200
"2017-11-17",14000
"2017-11-20",13750
"2017-11-21",14200
"2017-11-22",13850
"2017-11-23",14050
"2017-11-24",14200
"2017-11-27",14350
"2017-11-28",14150
"2017-11-29",14000
"2017-11-30",13650
"2017-12-01",13650
"2017-12-04",13950
"2017-12-05",14050
"2017-12-06",13950
"2017-12-07",14050
"2017-12-08",13750
"2017-12-11",14050
"2017-12-12",13950
"2017-12-13",14050
"2017-12-14",13600
"2017-12-15",13700
"2017-12-18",14000
"2017-12-19",13800
"2017-12-20",13850
"2017-12-21",14500
"2017-12-22",14400
"2017-12-26",14450
"2017-12-27",13950
"2017-12-28",13900
"2018-01-02",13850
"2018-01-03",13750
"2018-01-04",13750
"2018-01-05",13550
"2018-01-08",13450
"2018-01-09",13600
"2018-01-10",13600
"2018-01-11",13750
"2018-01-12",13900
"2018-01-15",14100
"2018-01-16",14150
"2018-01-17",13800
"2018-01-18",13750
"2018-01-19",13700
"2018-01-22",13650
"2018-01-23",13850
"2018-01-24",14200
"2018-01-25",14650
"2018-01-26",14900
"2018-01-29",14450
"2018-01-30",14650
"2018-01-31",14500
"2018-02-01",14450
"2018-02-02",14450
"2018-02-05",14000
"2018-02-06",13900
"2018-02-07",14050
"2018-02-08",14200
"2018-02-09",15600
"2018-02-12",15900
"2018-02-13",15750
"2018-02-14",15400
"2018-02-19",15550
"2018-02-20",14650
"2018-02-21",14550
"2018-02-22",14400
"2018-02-23",14550
"2018-02-26",14600
"2018-02-27",14400
"2018-02-28",14050
"2018-03-02",13700
"2018-03-05",13450
"2018-03-06",13550
"2018-03-07",13100
"2018-03-08",13300
"2018-03-09",13300
"2018-03-12",13600
"2018-03-13",13500
"2018-03-14",13600
"2018-03-15",13850
"2018-03-16",13800
"2018-03-19",13650
"2018-03-20",14250
"2018-03-21",14050
"2018-03-22",13950
"2018-03-23",13450
"2018-03-26",13600
"2018-03-27",13700
"2018-03-28",13850
"2018-03-29",14050
"2018-03-30",14050
"2018-04-02",14000
"2018-04-03",14350
"2018-04-04",14250
"2018-04-05",14300
"2018-04-06",14200
"2018-04-09",14300
"2018-04-10",14600
"2018-04-11",14950
"2018-04-12",14700
"2018-04-13",14450
"2018-04-16",14250
"2018-04-17",14150
"2018-04-18",14250
"2018-04-19",14550
"2018-04-20",14750
"2018-04-23",15150
"2018-04-24",15150
"2018-04-25",15250
"2018-04-26",14850
"2018-04-27",14700
"2018-04-30",14900
"2018-05-02",15050
"2018-05-03",14800
"2018-05-04",14750
"2018-05-08",14000
"2018-05-09",13900
"2018-05-10",14000
"2018-05-11",14100
"2018-05-14",14650
"2018-05-15",14200
"2018-05-16",14150
"2018-05-17",14300
"2018-05-18",14450
"2018-05-21",14250
"2018-05-23",13800
"2018-05-24",13850
"2018-05-25",13150
"2018-05-28",13200
"2018-05-29",13200
"2018-05-30",13250
"2018-05-31",13050
"2018-06-01",13200
"2018-06-04",13550
"2018-06-05",13600
"2018-06-07",13800
"2018-06-08",13800
"2018-06-11",13800
"2018-06-12",13650
"2018-06-14",13850
