"","Price"
"2017-09-07",26850
"2017-09-08",26700
"2017-09-11",26800
"2017-09-12",26450
"2017-09-13",26700
"2017-09-14",26750
"2017-09-15",26900
"2017-09-18",25650
"2017-09-19",26100
"2017-09-20",25900
"2017-09-21",25750
"2017-09-22",25600
"2017-09-25",24900
"2017-09-26",24500
"2017-09-27",24500
"2017-09-28",25000
"2017-09-29",25300
"2017-10-10",25700
"2017-10-11",25950
"2017-10-12",25900
"2017-10-13",25400
"2017-10-16",25500
"2017-10-17",25100
"2017-10-18",25100
"2017-10-19",25700
"2017-10-20",26000
"2017-10-23",25800
"2017-10-24",25150
"2017-10-25",25400
"2017-10-26",25950
"2017-10-27",25950
"2017-10-30",25900
"2017-10-31",26000
"2017-11-01",26400
"2017-11-02",26250
"2017-11-03",26350
"2017-11-06",26650
"2017-11-07",26100
"2017-11-08",26500
"2017-11-09",26850
"2017-11-10",27000
"2017-11-13",26700
"2017-11-14",26950
"2017-11-15",26950
"2017-11-16",27000
"2017-11-17",26900
"2017-11-20",27550
"2017-11-21",27550
"2017-11-22",26700
"2017-11-23",26450
"2017-11-24",26800
"2017-11-27",26150
"2017-11-28",26450
"2017-11-29",26050
"2017-11-30",26900
"2017-12-01",26250
"2017-12-04",26400
"2017-12-05",26600
"2017-12-06",26500
"2017-12-07",26400
"2017-12-08",25300
"2017-12-11",26400
"2017-12-12",25300
"2017-12-13",25050
"2017-12-14",25900
"2017-12-15",25700
"2017-12-18",25450
"2017-12-19",25000
"2017-12-20",24900
"2017-12-21",24650
"2017-12-22",24350
"2017-12-26",24500
"2017-12-27",24450
"2017-12-28",24500
"2018-01-02",24150
"2018-01-03",24800
"2018-01-04",24600
"2018-01-05",24550
"2018-01-08",24200
"2018-01-09",24300
"2018-01-10",24250
"2018-01-11",24250
"2018-01-12",24150
"2018-01-15",24300
"2018-01-16",24300
"2018-01-17",24050
"2018-01-18",24200
"2018-01-19",24200
"2018-01-22",24100
"2018-01-23",24300
"2018-01-24",24350
"2018-01-25",24600
"2018-01-26",24700
"2018-01-29",24700
"2018-01-30",24300
"2018-01-31",24750
"2018-02-01",24850
"2018-02-02",24700
"2018-02-05",23700
"2018-02-06",23800
"2018-02-07",23600
"2018-02-08",23150
"2018-02-09",23100
"2018-02-12",22700
"2018-02-13",22850
"2018-02-14",22950
"2018-02-19",22450
"2018-02-20",22450
"2018-02-21",22800
"2018-02-22",22500
"2018-02-23",22750
"2018-02-26",22550
"2018-02-27",22550
"2018-02-28",23000
"2018-03-02",22950
"2018-03-05",22600
"2018-03-06",22600
"2018-03-07",22600
"2018-03-08",22700
"2018-03-09",22750
"2018-03-12",22750
"2018-03-13",22550
"2018-03-14",22850
"2018-03-15",22350
"2018-03-16",22650
"2018-03-19",22500
"2018-03-20",22450
"2018-03-21",22650
"2018-03-22",22550
"2018-03-23",22200
"2018-03-26",22300
"2018-03-27",22300
"2018-03-28",22300
"2018-03-29",22400
"2018-03-30",22700
"2018-04-02",22900
"2018-04-03",23000
"2018-04-04",23150
"2018-04-05",23100
"2018-04-06",23100
"2018-04-09",22900
"2018-04-10",23400
"2018-04-11",23250
"2018-04-12",23100
"2018-04-13",23150
"2018-04-16",23250
"2018-04-17",23350
"2018-04-18",22900
"2018-04-19",23650
"2018-04-20",23400
"2018-04-23",24250
"2018-04-24",23600
"2018-04-25",23500
"2018-04-26",23700
"2018-04-27",24100
"2018-04-30",25000
"2018-05-02",25700
"2018-05-03",25750
"2018-05-04",26300
"2018-05-08",25050
"2018-05-09",24700
"2018-05-10",25350
"2018-05-11",25500
"2018-05-14",25650
"2018-05-15",25400
"2018-05-16",26500
"2018-05-17",26000
"2018-05-18",26250
"2018-05-21",26050
"2018-05-23",25950
"2018-05-24",25300
"2018-05-25",25300
"2018-05-28",25400
"2018-05-29",24900
"2018-05-30",25250
"2018-05-31",25600
"2018-06-01",25600
"2018-06-04",25700
"2018-06-05",25300
"2018-06-07",26150
"2018-06-08",26200
"2018-06-11",25800
"2018-06-12",25900
"2018-06-14",25700
"2018-06-15",25650
"2018-06-18",25400
"2018-06-19",24600
"2018-06-20",24500
"2018-06-21",24850
"2018-06-22",25150
"2018-06-25",24750
"2018-06-26",24700
"2018-06-27",24450
"2018-06-28",24100
"2018-06-29",24400
