"","Price"
"2018-07-02",23900
"2018-07-03",24100
"2018-07-04",24100
"2018-07-05",24600
"2018-07-06",24550
"2018-07-09",25600
"2018-07-10",24900
"2018-07-11",24650
"2018-07-12",24700
"2018-07-13",24150
"2018-07-16",24100
"2018-07-17",24400
"2018-07-18",24000
"2018-07-19",24250
"2018-07-20",23400
"2018-07-23",23750
"2018-07-24",23250
"2018-07-25",23600
"2018-07-26",23150
"2018-07-27",23000
"2018-07-30",23050
"2018-07-31",23500
"2018-08-01",23450
"2018-08-02",23850
"2018-08-03",23400
"2018-08-06",23800
"2018-08-07",24100
"2018-08-08",24050
"2018-08-09",23950
"2018-08-10",24100
"2018-08-13",23900
"2018-08-14",24000
"2018-08-16",22900
"2018-08-17",22850
"2018-08-20",23000
"2018-08-21",22950
"2018-08-22",23000
"2018-08-23",23250
"2018-08-24",23450
"2018-08-27",23650
"2018-08-28",23700
"2018-08-29",23550
"2018-08-30",22750
"2018-08-31",23200
"2018-09-03",23250
"2018-09-04",23300
"2018-09-05",23200
"2018-09-06",22750
"2018-09-07",22200
"2018-09-10",22200
"2018-09-11",22300
"2018-09-12",22350
"2018-09-13",22000
"2018-09-14",22250
"2018-09-17",22250
"2018-09-18",22050
"2018-09-19",21900
"2018-09-20",22500
"2018-09-21",22000
"2018-09-27",22800
"2018-09-28",22800
"2018-10-01",22200
"2018-10-02",21800
"2018-10-04",21700
"2018-10-05",21100
"2018-10-08",20250
"2018-10-10",20200
"2018-10-11",20150
"2018-10-12",20000
"2018-10-15",19800
"2018-10-16",20400
"2018-10-17",20400
"2018-10-18",20300
"2018-10-19",20250
"2018-10-22",20100
"2018-10-23",19750
"2018-10-24",19950
"2018-10-25",19950
"2018-10-26",19550
"2018-10-29",19100
"2018-10-30",19150
"2018-10-31",18900
"2018-11-01",19500
"2018-11-02",20000
"2018-11-05",19400
"2018-11-06",19600
"2018-11-07",19850
"2018-11-08",20000
"2018-11-09",19500
"2018-11-12",19300
"2018-11-13",19400
"2018-11-14",19250
"2018-11-15",19750
"2018-11-16",19800
"2018-11-19",19650
"2018-11-20",19750
"2018-11-21",19600
"2018-11-22",19500
"2018-11-23",19000
"2018-11-26",19350
"2018-11-27",19500
"2018-11-28",19700
"2018-11-29",19900
"2018-11-30",19950
"2018-12-03",20200
"2018-12-04",20000
"2018-12-05",19950
"2018-12-06",20000
"2018-12-07",20300
"2018-12-10",20100
"2018-12-11",20050
"2018-12-12",20100
"2018-12-13",19550
"2018-12-14",20050
"2018-12-17",19950
"2018-12-18",19800
"2018-12-19",19650
"2018-12-20",19850
"2018-12-21",19800
"2018-12-24",19750
"2018-12-26",19500
"2018-12-27",19350
"2018-12-28",19000
"2019-01-02",19000
"2019-01-03",19100
"2019-01-04",18950
"2019-01-07",19500
"2019-01-08",19450
"2019-01-09",19850
"2019-01-10",19800
"2019-01-11",19950
"2019-01-14",21000
"2019-01-15",21050
"2019-01-16",20900
"2019-01-17",21150
"2019-01-18",21300
"2019-01-21",21350
"2019-01-22",21350
"2019-01-23",21100
"2019-01-24",21000
"2019-01-25",21000
"2019-01-28",21000
"2019-01-29",20600
"2019-01-30",20100
"2019-01-31",20100
"2019-02-01",20000
"2019-02-07",20000
"2019-02-08",20000
"2019-02-11",20000
"2019-02-12",19500
"2019-02-13",19400
"2019-02-14",19400
"2019-02-15",19550
"2019-02-18",19900
"2019-02-19",19750
"2019-02-20",20000
"2019-02-21",20150
"2019-02-22",20200
"2019-02-25",20450
"2019-02-26",20500
"2019-02-27",20700
"2019-02-28",20400
"2019-03-04",20700
"2019-03-05",21550
"2019-03-06",21650
"2019-03-07",21500
"2019-03-08",21400
"2019-03-11",21400
"2019-03-12",21500
"2019-03-13",21300
"2019-03-14",21700
"2019-03-15",21900
"2019-03-18",21750
"2019-03-19",21500
"2019-03-20",21700
"2019-03-21",21550
"2019-03-22",21200
"2019-03-25",21050
"2019-03-26",21050
"2019-03-27",21150
"2019-03-28",21000
"2019-03-29",21250
"2019-04-01",20900
"2019-04-02",20800
"2019-04-03",20900
"2019-04-04",20800
"2019-04-05",20750
"2019-04-08",21000
"2019-04-09",20800
"2019-04-10",20700
"2019-04-11",20600
"2019-04-12",20550
"2019-04-15",20550
"2019-04-16",20550
"2019-04-17",20500
"2019-04-18",20500
"2019-04-19",20400
"2019-04-22",20400
"2019-04-23",22050
"2019-04-24",21700
"2019-04-25",20750
"2019-04-26",20550
"2019-04-29",20650
"2019-04-30",20650
"2019-05-02",20700
"2019-05-03",20850
"2019-05-07",20900
"2019-05-08",20900
"2019-05-09",20850
"2019-05-10",20250
"2019-05-13",20050
"2019-05-14",20350
"2019-05-15",20250
"2019-05-16",20150
"2019-05-17",19950
"2019-05-20",20150
"2019-05-21",19950
"2019-05-22",20150
"2019-05-23",20300
"2019-05-24",20700
"2019-05-27",20450
"2019-05-28",20300
"2019-05-29",20300
"2019-05-30",20150
"2019-05-31",20000
"2019-06-03",20200
"2019-06-04",20150
"2019-06-05",20000
"2019-06-07",20100
"2019-06-10",20150
"2019-06-11",20500
"2019-06-12",20400
"2019-06-13",21050
"2019-06-14",21050
"2019-06-17",21700
"2019-06-18",21750
"2019-06-19",21800
"2019-06-20",21850
"2019-06-21",21850
"2019-06-24",21900
"2019-06-25",21950
"2019-06-26",21950
"2019-06-27",22000
"2019-06-28",22050
"2019-07-01",22100
"2019-07-02",22000
"2019-07-03",21900
"2019-07-04",21900
"2019-07-05",21950
"2019-07-08",21600
"2019-07-09",20800
"2019-07-10",21000
"2019-07-11",20900
"2019-07-12",20850
"2019-07-15",20850
"2019-07-16",20450
"2019-07-17",20250
"2019-07-18",20300
"2019-07-19",20200
"2019-07-22",19800
"2019-07-23",19650
"2019-07-24",19600
"2019-07-25",19400
"2019-07-26",19800
"2019-07-29",19900
"2019-07-30",19900
"2019-07-31",19750
"2019-08-01",20050
"2019-08-02",19500
"2019-08-05",18750
"2019-08-06",17800
"2019-08-07",17800
"2019-08-08",17800
"2019-08-09",18350
"2019-08-12",18400
"2019-08-13",17800
"2019-08-14",18100
"2019-08-16",18200
"2019-08-19",18300
"2019-08-20",18300
"2019-08-21",18100
"2019-08-22",18350
"2019-08-23",18250
"2019-08-26",18200
"2019-08-27",18150
"2019-08-28",18100
"2019-08-29",18300
"2019-08-30",18550
"2019-09-02",18800
"2019-09-03",18800
"2019-09-04",19200
"2019-09-05",18900
"2019-09-06",18900
"2019-09-09",18600
"2019-09-10",18750
"2019-09-11",18650
"2019-09-16",19350
"2019-09-17",19900
"2019-09-18",20100
"2019-09-19",22350
"2019-09-20",23800
"2019-09-23",21850
"2019-09-24",23300
"2019-09-25",23850
