"","Price"
"2018-12-12",37294
"2018-12-13",37294
"2018-12-14",37147
"2018-12-17",37294
"2018-12-18",37294
"2018-12-19",37220
"2018-12-20",37220
"2018-12-21",36633
"2018-12-24",36706
"2018-12-26",36192
"2018-12-27",36559
"2018-12-28",37734
"2019-01-02",36706
"2019-01-03",37881
"2019-01-04",37294
"2019-01-07",37734
"2019-01-08",37294
"2019-01-09",36926
"2019-01-10",37000
"2019-01-11",36853
"2019-01-14",36780
"2019-01-15",36559
"2019-01-16",36706
"2019-01-17",36559
"2019-01-18",36853
"2019-01-21",36486
"2019-01-22",36706
"2019-01-23",36853
"2019-01-24",36853
"2019-01-25",36853
"2019-01-28",36706
"2019-01-29",36559
"2019-01-30",36559
"2019-01-31",36559
"2019-02-01",36633
"2019-02-07",36486
"2019-02-08",35825
"2019-02-11",36413
"2019-02-12",36413
"2019-02-13",36413
"2019-02-14",36853
"2019-02-15",36706
"2019-02-18",37000
"2019-02-19",37000
"2019-02-20",37440
"2019-02-21",37440
"2019-02-22",37661
"2019-02-25",39055
"2019-02-26",40230
"2019-02-27",42432
"2019-02-28",53738
"2019-03-04",52123
"2019-03-05",48526
"2019-03-06",48746
"2019-03-07",47938
"2019-03-08",48159
"2019-03-11",49480
"2019-03-12",49774
"2019-03-13",50288
"2019-03-14",50581
"2019-03-15",50288
"2019-03-18",50434
"2019-03-19",50361
"2019-03-20",51829
"2019-03-21",52710
"2019-03-22",53738
"2019-03-25",57702
"2019-03-26",57776
"2019-03-27",57335
"2019-03-28",56968
"2019-03-29",52395
"2019-04-01",51062
"2019-04-02",49156
"2019-04-03",50490
"2019-04-04",50204
"2019-04-05",49823
"2019-04-08",49442
"2019-04-09",49252
"2019-04-10",49156
"2019-04-11",49252
"2019-04-12",49347
"2019-04-15",49252
"2019-04-16",43250
"2019-04-17",43202
"2019-04-18",41726
"2019-04-19",41678
"2019-04-22",41297
"2019-04-23",42012
"2019-04-24",42345
"2019-04-25",42250
"2019-04-26",42393
"2019-04-29",42869
"2019-04-30",42536
"2019-05-02",42250
"2019-05-03",42726
"2019-05-07",42012
"2019-05-08",41583
"2019-05-09",40344
"2019-05-10",40297
"2019-05-13",41773
"2019-05-14",41631
"2019-05-15",40868
"2019-05-16",41059
"2019-05-17",41631
"2019-05-20",41488
"2019-05-21",41249
"2019-05-22",41249
"2019-05-23",41345
"2019-05-24",40297
"2019-05-27",40821
"2019-05-28",40725
"2019-05-29",40725
"2019-05-30",41107
"2019-05-31",41059
"2019-06-03",40487
"2019-06-04",40392
"2019-06-05",40344
"2019-06-07",40583
"2019-06-10",41488
"2019-06-11",42059
"2019-06-12",42440
"2019-06-13",42488
"2019-06-14",42821
"2019-06-17",43250
"2019-06-18",43441
"2019-06-19",44203
"2019-06-20",44917
"2019-06-21",46346
"2019-06-24",45632
"2019-06-25",45155
"2019-06-26",45155
"2019-06-27",45584
"2019-06-28",45012
"2019-07-01",45155
"2019-07-02",43393
"2019-07-03",44393
"2019-07-04",44298
"2019-07-05",43726
"2019-07-08",43059
"2019-07-09",42726
"2019-07-10",41916
"2019-07-11",41964
"2019-07-12",41869
"2019-07-15",41916
"2019-07-16",41773
"2019-07-17",41916
"2019-07-18",41964
"2019-07-19",41916
"2019-07-22",42059
"2019-07-23",42297
"2019-07-24",42583
"2019-07-25",43250
"2019-07-26",43250
"2019-07-29",43250
"2019-07-30",43250
"2019-07-31",43250
"2019-08-01",43250
"2019-08-02",43250
"2019-08-05",43250
"2019-08-06",43250
"2019-08-07",43250
"2019-08-08",43250
"2019-08-09",43250
"2019-08-12",43250
"2019-08-13",43300
"2019-08-14",44000
"2019-08-16",46700
"2019-08-19",48500
"2019-08-20",47950
"2019-08-21",48400
"2019-08-22",47900
"2019-08-23",47000
"2019-08-26",50200
"2019-08-27",52000
"2019-08-28",51900
"2019-08-29",49500
"2019-08-30",50500
"2019-09-02",50500
"2019-09-03",50400
"2019-09-04",49850
"2019-09-05",51200
"2019-09-06",51500
"2019-09-09",51900
"2019-09-10",52100
"2019-09-11",51200
"2019-09-16",52600
"2019-09-17",52900
"2019-09-18",54800
"2019-09-19",57900
"2019-09-20",57800
"2019-09-23",58000
"2019-09-24",57800
"2019-09-25",57000
