"","Price"
"2017-09-07",31421
"2017-09-08",31274
"2017-09-11",31421
"2017-09-12",31347
"2017-09-13",31347
"2017-09-14",31347
"2017-09-15",30907
"2017-09-18",30907
"2017-09-19",30833
"2017-09-20",31788
"2017-09-21",30907
"2017-09-22",31788
"2017-09-25",30907
"2017-09-26",30173
"2017-09-27",30833
"2017-09-28",30833
"2017-09-29",30907
"2017-10-10",30907
"2017-10-11",31861
"2017-10-12",31567
"2017-10-13",30833
"2017-10-16",30833
"2017-10-17",31274
"2017-10-18",31053
"2017-10-19",33623
"2017-10-20",33476
"2017-10-23",32742
"2017-10-24",33623
"2017-10-25",33843
"2017-10-26",32962
"2017-10-27",33696
"2017-10-30",32522
"2017-10-31",33770
"2017-11-01",35165
"2017-11-02",34137
"2017-11-03",33036
"2017-11-06",33403
"2017-11-07",32742
"2017-11-08",32962
"2017-11-09",32595
"2017-11-10",32742
"2017-11-13",33623
"2017-11-14",33623
"2017-11-15",33917
"2017-11-16",34944
"2017-11-17",35091
"2017-11-20",34137
"2017-11-21",33036
"2017-11-22",35091
"2017-11-23",35018
"2017-11-24",33990
"2017-11-27",33990
"2017-11-28",33843
"2017-11-29",35018
"2017-11-30",34944
"2017-12-01",34798
"2017-12-04",34944
"2017-12-05",33917
"2017-12-06",33256
"2017-12-07",32742
"2017-12-08",32815
"2017-12-11",33182
"2017-12-12",32815
"2017-12-13",33403
"2017-12-14",33696
"2017-12-15",33696
"2017-12-18",33623
"2017-12-19",33549
"2017-12-20",33109
"2017-12-21",33036
"2017-12-22",32889
"2017-12-26",32522
"2017-12-27",32522
"2017-12-28",33036
"2018-01-02",32815
"2018-01-03",32815
"2018-01-04",33182
"2018-01-05",33329
"2018-01-08",33256
"2018-01-09",32081
"2018-01-10",32008
"2018-01-11",32155
"2018-01-12",32522
"2018-01-15",32155
"2018-01-16",32522
"2018-01-17",32008
"2018-01-18",32448
"2018-01-19",32448
"2018-01-22",32595
"2018-01-23",32155
"2018-01-24",32301
"2018-01-25",32301
"2018-01-26",32742
"2018-01-29",32742
"2018-01-30",32669
"2018-01-31",32301
"2018-02-01",32742
"2018-02-02",32595
"2018-02-05",32669
"2018-02-06",32742
"2018-02-07",32815
"2018-02-08",32962
"2018-02-09",33329
"2018-02-12",32595
"2018-02-13",33843
"2018-02-14",33843
"2018-02-19",34577
"2018-02-20",34210
"2018-02-21",34284
"2018-02-22",34430
"2018-02-23",35018
"2018-02-26",35311
"2018-02-27",34724
"2018-02-28",35385
"2018-03-02",35532
"2018-03-05",35532
"2018-03-06",35605
"2018-03-07",35972
"2018-03-08",35532
"2018-03-09",35532
"2018-03-12",35458
"2018-03-13",34871
"2018-03-14",34871
"2018-03-15",34798
"2018-03-16",34871
"2018-03-19",34944
"2018-03-20",34798
"2018-03-21",34504
"2018-03-22",34798
"2018-03-23",34430
"2018-03-26",34430
"2018-03-27",35238
"2018-03-28",34210
"2018-03-29",34430
"2018-03-30",34798
"2018-04-02",35165
"2018-04-03",35238
"2018-04-04",34724
"2018-04-05",34504
"2018-04-06",34430
"2018-04-09",34357
"2018-04-10",34210
"2018-04-11",34944
"2018-04-12",35458
"2018-04-13",35018
"2018-04-16",34798
"2018-04-17",35238
"2018-04-18",34798
"2018-04-19",35238
"2018-04-20",34798
"2018-04-23",34798
"2018-04-24",34798
"2018-04-25",35091
"2018-04-26",34798
"2018-04-27",34724
"2018-04-30",34504
"2018-05-02",34504
"2018-05-03",34357
"2018-05-04",34357
"2018-05-08",34504
"2018-05-09",34504
"2018-05-10",34504
"2018-05-11",34504
"2018-05-14",34504
"2018-05-15",34504
"2018-05-16",34724
"2018-05-17",34944
"2018-05-18",34944
"2018-05-21",34944
"2018-05-23",35165
"2018-05-24",35165
"2018-05-25",34944
"2018-05-28",34871
"2018-05-29",35165
"2018-05-30",35238
"2018-05-31",35311
"2018-06-01",35238
"2018-06-04",35238
"2018-06-05",35385
"2018-06-07",35385
"2018-06-08",35385
"2018-06-11",35532
"2018-06-12",35091
"2018-06-14",35311
"2018-06-15",35458
"2018-06-18",35458
"2018-06-19",35385
"2018-06-20",35458
"2018-06-21",35899
"2018-06-22",35899
"2018-06-25",35532
"2018-06-26",36266
"2018-06-27",36486
"2018-06-28",36046
"2018-06-29",36046
"2018-07-02",36266
"2018-07-03",36119
"2018-07-04",35825
"2018-07-05",35825
"2018-07-06",35458
"2018-07-09",35678
"2018-07-10",35825
"2018-07-11",35972
"2018-07-12",36413
"2018-07-13",36119
"2018-07-16",36119
"2018-07-17",36853
"2018-07-18",36413
"2018-07-19",36486
"2018-07-20",36486
"2018-07-23",36486
"2018-07-24",36559
"2018-07-25",36706
"2018-07-26",36706
"2018-07-27",36706
"2018-07-30",36780
"2018-07-31",36780
"2018-08-01",36780
"2018-08-02",36780
"2018-08-03",36780
"2018-08-06",36926
"2018-08-07",36926
"2018-08-08",36706
"2018-08-09",36853
"2018-08-10",36926
"2018-08-13",36926
"2018-08-14",37073
"2018-08-16",37000
"2018-08-17",37000
"2018-08-20",36633
"2018-08-21",36633
"2018-08-22",36633
"2018-08-23",36706
"2018-08-24",36559
"2018-08-27",36633
"2018-08-28",36413
"2018-08-29",36706
"2018-08-30",36853
"2018-08-31",36633
"2018-09-03",36633
"2018-09-04",36706
"2018-09-05",37220
"2018-09-06",36706
"2018-09-07",36706
"2018-09-10",36706
"2018-09-11",37000
"2018-09-12",36853
"2018-09-13",37000
"2018-09-14",36853
"2018-09-17",36780
"2018-09-18",36853
"2018-09-19",36853
"2018-09-20",36853
"2018-09-21",37220
"2018-09-27",37220
"2018-09-28",37661
"2018-10-01",37220
"2018-10-02",37147
"2018-10-04",37073
"2018-10-05",36780
"2018-10-08",36486
"2018-10-10",36633
"2018-10-11",35752
"2018-10-12",35752
"2018-10-15",36559
"2018-10-16",36853
"2018-10-17",36853
"2018-10-18",37073
"2018-10-19",37073
"2018-10-22",37073
"2018-10-23",36780
"2018-10-24",36853
"2018-10-25",36046
"2018-10-26",36119
"2018-10-29",35238
"2018-10-30",35825
"2018-10-31",35972
"2018-11-01",36559
"2018-11-02",36559
"2018-11-05",36706
"2018-11-06",36559
"2018-11-07",36486
"2018-11-08",36706
"2018-11-09",36633
"2018-11-12",35825
"2018-11-13",36119
"2018-11-14",35532
"2018-11-15",35678
"2018-11-16",35972
"2018-11-19",36192
"2018-11-20",35605
"2018-11-21",35752
"2018-11-22",35825
"2018-11-23",35532
"2018-11-26",35899
"2018-11-27",35825
"2018-11-28",35825
"2018-11-29",35972
"2018-11-30",35752
"2018-12-03",36413
"2018-12-04",36413
"2018-12-05",36413
"2018-12-06",36413
"2018-12-07",36633
"2018-12-10",36633
"2018-12-11",36706
