"","X2016.12","X2017.12","X2018.12"
"263",NA,NA,NA
"264",NA,NA,NA
"265",-86695,-125609,-150902
"266",24060,37347,117
"267",10417,9983,36
"268",13510,27307,NA
"269",NA,NA,NA
"270",NA,NA,NA
"271",NA,NA,NA
"272",NA,NA,NA
"273",NA,NA,NA
"274",NA,NA,NA
"275",NA,NA,NA
"276",132,57,81
"277",NA,NA,NA
"278",79608,94912,49082
"279",2528,11408,19866
"280",NA,NA,20465
"281",NA,NA,NA
"282",NA,NA,NA
"283",NA,NA,NA
"284",NA,NA,NA
"285",NA,NA,NA
"286",77079,83504,8751
"287",NA,NA,NA
"288",NA,NA,NA
"289",-31147,-68043,-101937
"290",NA,NA,NA
"291",NA,NA,NA
"292",NA,NA,NA
"293",-31147,-68043,-101937
"294",NA,NA,NA
"295",NA,NA,NA
"296",NA,NA,NA
"297",NA,NA,NA
"298",NA,NA,NA
"299",4172,-17823,942
"300",94747,-15663,-2046
"301",226367,321114,305451
"302",321114,305451,303405
