"지역구분코드","행정구역시도코드","학교급구분코드","학년","사교육비총비용","학생성별코드","가중값"
1,11,1,1,0,1,163.371122895488
1,11,1,1,0,1,163.371122895488
1,11,1,1,0,1,165.186357594326
1,11,1,1,0,1,165.186357594326
1,11,1,1,0,1,165.186357594326
1,11,1,1,0,1,165.186357594326
1,11,1,1,0,1,167.670362971685
1,11,1,1,0,1,167.670362971685
1,11,1,1,0,1,167.670362971685
1,11,1,1,0,1,168.940592994197
1,11,1,1,0,1,169.905967811307
1,11,1,1,0,1,182.042108369258
1,11,1,1,0,1,189.627196217977
1,11,1,1,0,1,194.622177522845
1,11,1,1,0,1,194.622177522845
1,11,1,1,0,1,208.52376163162
1,11,1,1,0,1,208.52376163162
1,11,1,1,0,1,208.52376163162
1,11,1,1,0,1,228.780355618692
1,11,1,1,0,1,228.780355618692
1,11,1,1,0,1,242.645831716794
1,11,1,1,0,1,68.0416193544892
1,11,1,1,0,1,68.0416193544892
1,11,1,1,0,1,72.2678068920351
1,11,1,1,0,2,115.427747119223
1,11,1,1,0,2,115.427747119223
1,11,1,1,0,2,165.186357594326
1,11,1,1,0,2,165.186357594326
1,11,1,1,0,2,165.186357594326
1,11,1,1,0,2,167.670362971685
1,11,1,1,0,2,167.670362971685
1,11,1,1,0,2,171.27617722914
1,11,1,1,0,2,182.042108369258
1,11,1,1,0,2,190.65029634891
1,11,1,1,0,2,190.65029634891
1,11,1,1,0,2,190.65029634891
1,11,1,1,0,2,194.622177522845
1,11,1,1,0,2,208.52376163162
1,11,1,1,0,2,212.315102752195
1,11,1,1,0,2,212.315102752195
1,11,1,1,0,2,228.780355618692
1,11,1,1,0,2,228.780355618692
1,11,1,1,0,2,228.780355618692
1,11,1,1,0,2,242.645831716794
1,11,1,1,0,2,58.3213880181336
1,11,1,1,0,2,58.3213880181336
1,11,1,1,0,2,83.9474524503438
1,11,1,1,0,2,83.9474524503438
1,11,1,1,0,2,98.4983442084034
1,11,1,1,0,2,98.4983442084034
1,11,1,1,100.829853528481592666666666666666666667,2,182.042108369258
1,11,1,1,1021.8982520086472385,2,169.905967811307
1,11,1,1,1027.4802167094357915,2,98.4983442084034
1,11,1,1,1045.422246104827569,1,72.2678068920351
1,11,1,1,1048.611940219563885,1,72.2678068920351
1,11,1,1,1050.95731946994275433333333333333333333,1,171.27617722914
1,11,1,1,1052.59905786298428,1,72.2678068920351
1,11,1,1,1052.59905786298428,1,83.9474524503438
1,11,1,1,1052.8963551147212465,2,115.427747119223
1,11,1,1,1054.83539075949973866666666666666666667,1,68.0416193544892
1,11,1,1,1058.713462049056723,1,171.27617722914
1,11,1,1,107.652176372350665,1,189.627196217977
1,11,1,1,1088.483116653767835,2,83.9474524503438
1,11,1,1,1100.44446958402902,1,72.2678068920351
1,11,1,1,1105.250317523740535,1,115.427747119223
1,11,1,1,1112.405822514290205,2,83.9474524503438
1,11,1,1,1116.884531392411488,1,58.3213880181336
1,11,1,1,1140.152959129753394,1,68.0416193544892
1,11,1,1,1144.302763661653365,1,83.9474524503438
1,11,1,1,1155.66524428798133133333333333333333333,1,194.622177522845
1,11,1,1,116.34213868670953,2,115.427747119223
1,11,1,1,1164.23835187875534,1,72.2678068920351
1,11,1,1,1192.148175382698105,1,98.4983442084034
1,11,1,1,1196.1352930261185,2,72.2678068920351
1,11,1,1,1196.1352930261185,2,72.2678068920351
1,11,1,1,120.9958242341779112,1,228.780355618692
1,11,1,1,122.1592456210450065,1,171.27617722914
1,11,1,1,123.3226670079121018,2,58.3213880181336
1,11,1,1,124.098281265823498666666666666666666667,1,115.427747119223
1,11,1,1,127.587764589452639999999999999999999999,1,167.670362971685
1,11,1,1,127.976352555380483,1,182.042108369258
1,11,1,1,1283.4531694170251505,2,208.52376163162
1,11,1,1,1291.397739422475783,1,68.0416193544892
1,11,1,1,1291.82611646820798,2,72.2678068920351
1,11,1,1,1326.300381028488642,1,68.0416193544892
1,11,1,1,1327.710175258991535,1,72.2678068920351
1,11,1,1,133.7934594897159595,2,228.780355618692
1,11,1,1,137.156846933661588,2,83.9474524503438
1,11,1,1,1375.555586980036275,1,98.4983442084034
1,11,1,1,1389.5104987320076575,1,83.9474524503438
1,11,1,1,139.610566424051436,1,163.371122895488
1,11,1,1,139.610566424051436,1,194.622177522845
