"지역구분코드","행정구역시도코드","학교급구분코드","학년","사교육비총비용","학생성별코드","가중값"
1,11,1,1,0,1,104.907094444358
1,11,1,1,0,1,104.907094444358
1,11,1,1,0,1,104.907094444358
1,11,1,1,0,1,104.907094444358
1,11,1,1,0,1,130.843218668409
1,11,1,1,0,1,130.843218668409
1,11,1,1,0,1,130.843218668409
1,11,1,1,0,1,130.843218668409
1,11,1,1,0,1,130.843218668409
1,11,1,1,0,1,151.778133655355
1,11,1,1,0,1,162.907707878487
1,11,1,1,0,1,162.907707878487
1,11,1,1,0,1,162.907707878487
1,11,1,1,0,1,175.439070022986
1,11,1,1,0,1,175.439070022986
1,11,1,1,0,1,175.439070022986
1,11,1,1,0,1,175.439070022986
1,11,1,1,0,1,177.388393023241
1,11,1,1,0,1,177.388393023241
1,11,1,1,0,1,177.388393023241
1,11,1,1,0,1,177.388393023241
1,11,1,1,0,1,180.05588765517
1,11,1,1,0,1,180.05588765517
1,11,1,1,0,1,183.928057282163
1,11,1,1,0,1,183.928057282163
1,11,1,1,0,1,183.928057282163
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,190.058992524902
1,11,1,1,0,1,197.627778197077
1,11,1,1,0,1,197.627778197077
1,11,1,1,0,1,197.627778197077
1,11,1,1,0,1,205.900568912303
1,11,1,1,0,1,205.900568912303
1,11,1,1,0,1,205.900568912303
1,11,1,1,0,1,206.500862116129
1,11,1,1,0,1,206.500862116129
1,11,1,1,0,1,206.500862116129
1,11,1,1,0,1,206.500862116129
1,11,1,1,0,1,240.917672468817
1,11,1,1,0,1,240.917672468817
1,11,1,1,0,1,64.9967867753089
1,11,1,1,0,1,64.9967867753089
1,11,1,1,0,1,77.8607341579221
1,11,1,1,0,1,77.8607341579221
1,11,1,1,0,1,87.2040222568727
1,11,1,1,0,1,87.2040222568727
1,11,1,1,0,1,93.4328809895065
1,11,1,1,0,2,104.907094444358
1,11,1,1,0,2,104.907094444358
1,11,1,1,0,2,104.907094444358
1,11,1,1,0,2,104.907094444358
1,11,1,1,0,2,104.907094444358
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,130.843218668409
1,11,1,1,0,2,151.778133655355
1,11,1,1,0,2,151.778133655355
1,11,1,1,0,2,151.778133655355
1,11,1,1,0,2,151.778133655355
1,11,1,1,0,2,151.778133655355
1,11,1,1,0,2,162.907707878487
1,11,1,1,0,2,162.907707878487
