"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1290",2019-09-20,"214450","파마리서치프로덕트","-",34300,"1,528","22.45","19,925","1.72",300,0.87,1290,NA
"1291",2019-09-20,"215200","메가스터디교육","-",34300,"3,508","9.78","18,126","1.89",850,2.48,1291,NA
"1292",2019-09-20,"215360","우리산업","-",23450,"1,338","17.53","11,913","1.97",100,0.43,1292,NA
"1293",2019-09-20,"215600","신라젠","-",10300,"-","-","2,365","4.36",0,0,1293,NA
"1294",2019-09-20,"217480","에스디생명공학","-",6000,"401","14.96","4,977","1.21",0,0,1294,NA
"1295",2019-09-20,"217730","강스템바이오텍","-",14650,"-","-","2,290","6.4",0,0,1295,NA
"1296",2019-09-20,"222040","코스맥스엔비티","-",7550,"369","20.46","4,406","1.71",111,1.47,1296,NA
"1297",2019-09-20,"226950","올릭스","-",37800,"-","-","8,447","4.47",0,0,1297,NA
"1298",2019-09-20,"237690","에스티팜","-",17550,"-","-","17,773","0.99",500,2.85,1298,NA
"1299",2019-09-20,"237880","클리오","-",19850,"59","336.44","8,318","2.39",0,0,1299,NA
"1300",2019-09-20,"240810","원익IPS","-",28200,"2,105","13.4","8,946","3.15",220,0.78,1300,NA
"1301",2019-09-20,"241710","코스메카코리아","-",15050,"840","17.92","11,702","1.29",100,0.66,1301,NA
"1302",2019-09-20,"243070","휴온스","-",44450,"5,044","8.81","18,187","2.44",800,1.8,1302,NA
"1303",2019-09-20,"246710","티앤알바이오팹","-",10350,"-","-","3,717","2.78",0,0,1303,NA
"1304",2019-09-20,"247540","에코프로비엠","-",53300,"2,345","22.73","9,880","5.39",0,0,1304,NA
"1305",2019-09-20,"253450","스튜디오드래곤","-",71000,"1,278","55.56","14,305","4.96",0,0,1305,NA
"1306",2019-09-20,"263050","유틸렉스","-",57700,"-","-","10,669","5.41",0,0,1306,NA
"1307",2019-09-20,"263750","펄어비스","-",197100,"12,498","15.77","31,525","6.25",0,0,1307,NA
"1308",2019-09-20,"265520","AP시스템","-",29950,"1,812","16.53","6,964","4.3",150,0.5,1308,NA
"1309",2019-09-20,"267980","매일유업","-",96400,"7,545","12.78","44,235","2.18",700,0.73,1309,NA
"1310",2019-09-20,"272290","이녹스첨단소재","-",51800,"3,355","15.44","15,909","3.26",0,0,1310,NA
"1311",2019-09-20,"278280","천보","-",70300,"2,958","23.77","13,450","5.23",0,0,1311,NA
"1312",2019-09-20,"298380","에이비엘바이오","-",19000,"-","-","3,520","5.4",0,0,1312,NA
"1313",2019-09-20,"032820","우리기술","-",1110,"-","-","388","2.86",0,0,1313,NA
"1314",2019-09-20,"033430","디에스티","관리종목",856,"-","-","306","2.8",0,0,1314,NA
"1315",2019-09-20,"108860","셀바스AI","-",3780,"-","-","1,711","2.21",0,0,1315,NA
"1316",2019-09-20,"123040","엠에스오토텍","-",5310,"129","41.16","3,031","1.75",50,0.94,1316,NA
"1317",2019-09-20,"217270","넵튠","-",8180,"-","-","3,390","2.41",0,0,1317,NA
"1318",2019-09-20,"290380","대유","-",15500,"838","18.5","6,724","2.31",220,1.42,1318,NA
"1319",2019-09-20,"000440","중앙에너비스","-",7640,"958","7.97","7,269","1.05",160,2.09,1319,NA
"1320",2019-09-20,"024060","흥구석유","-",6960,"163","42.7","4,696","1.48",120,1.72,1320,NA
"1321",2019-09-20,"048870","시너지이노베이션","-",1810,"-","-","937","1.93",0,0,1321,NA
"1322",2019-09-20,"060240","룽투코리아","-",5770,"889","6.49","2,730","2.11",0,0,1322,NA
"1323",2019-09-20,"064800","필링크","-",1285,"-","-","1,804","0.71",0,0,1323,NA
"1324",2019-09-20,"066430","와이오엠","-",12300,"-","-","542","22.69",0,0,1324,NA
"1325",2019-09-20,"088910","동우팜투테이블","-",4410,"705","6.26","7,301","0.6",50,1.13,1325,NA
"1326",2019-09-20,"096640","멜파스","-",2555,"-","-","1,817","1.41",0,0,1326,NA
"1327",2019-09-20,"137950","제이씨케미칼","-",5260,"224","23.48","3,671","1.43",60,1.14,1327,NA
"1328",2019-09-20,"317120","라닉스","-",9040,"110","82.18","751","12.04",0,0,1328,NA
"1329",2019-09-20,"320000","하나금융13호스팩","-",2070,"-","-","-","-",NA,NA,1329,NA
"1330",2019-09-20,"006910","보성파워텍","-",2485,"-","-","1,710","1.45",0,0,1330,NA
"1331",2019-09-20,"012340","뉴인텍","-",490,"-","-","264","1.86",0,0,1331,NA
"1332",2019-09-20,"013310","아진산업","-",2940,"-","-","5,676","0.52",0,0,1332,NA
"1333",2019-09-20,"018620","우진비앤지","-",3735,"-","-","1,424","2.62",0,0,1333,NA
"1334",2019-09-20,"025870","신라에스지","-",12900,"-","-","3,619","3.56",0,0,1334,NA
"1335",2019-09-20,"039230","에이아이비트","관리종목",496,"-","-","501","0.99",0,0,1335,NA
"1336",2019-09-20,"044960","이글벳","-",10650,"85","125.29","2,733","3.9",20,0.19,1336,NA
"1337",2019-09-20,"058530","슈펙스비앤피","-",599,"-","-","920","0.65",0,0,1337,NA
"1338",2019-09-20,"064510","에코마이스터","-",7250,"-","-","1,421","5.1",0,0,1338,NA
"1339",2019-09-20,"072520","제넨바이오","-",2025,"-","-","528","3.84",0,0,1339,NA
"1340",2019-09-20,"080440","에스제이케이","관리종목",2160,"-","-","1,709","1.26",0,0,1340,NA
"1341",2019-09-20,"119830","아이텍","-",6590,"269","24.5","5,859","1.12",0,0,1341,NA
"1342",2019-09-20,"133750","메가엠디","-",3230,"53","60.94","2,595","1.24",50,1.55,1342,NA
"1343",2019-09-20,"136480","하림","-",3860,"-","-","3,405","1.13",0,0,1343,NA
"1344",2019-09-20,"159910","스킨앤스킨","-",372,"-","-","331","1.12",0,0,1344,NA
"1345",2019-09-20,"160600","에스엔텍","-",3470,"229","15.15","1,578","2.2",0,0,1345,NA
"1346",2019-09-20,"178780","유테크","관리종목",2410,"-","-","854","2.82",0,0,1346,NA
"1347",2019-09-20,"183490","엔지켐생명과학","-",49700,"-","-","7,610","6.53",0,0,1347,NA
"1348",2019-09-20,"226350","아이엠텍","관리종목",1405,"-","-","104","13.51",0,0,1348,NA
