"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"118","036490","SK머티리얼즈","코스닥","IT H/W",173000,200,1824747429000,"2019-09-20","-",176300,"11,536","15.28","35,670","4.94",3750,2.13,1194,NA
"119","026960","동서","코스피","유통업",18050,-200,1.799585e+12,"2019-09-20","-",18400,"1,179","15.61","12,679","1.45",700,3.8,2096,NA
"120","028300","에이치엘비","코스닥","운송장비·부품",45550,-1800,1787162540100,"2019-09-20","-",44000,"678","64.9","4,438","9.91",0,0,1178,NA
"121","064350","현대로템","코스피","운수장비",20650,-150,1.75525e+12,"2019-09-20","-",20550,"-","-","12,282","1.67",0,0,2139,NA
"122","034230","파라다이스","코스닥","오락·문화",19050,150,1732457901600,"2019-09-20","-",18650,"-","-","13,989","1.33",100,0.54,1187,NA
"123","010060","OCI","코스피","화학",72500,1400,1729079397500,"2019-09-20","-",70800,"4,352","16.27","143,796","0.49",850,1.2,2057,NA
"124","180640","한진칼","코스피","운수창고업",28150,-400,1665648392700,"2019-09-20","-",29300,"-","-","24,818","1.18",300,1.02,2192,NA
"125","204320","만도","코스피","운수장비",34900,-2700,1638803488000,"2019-09-20","-",37050,"2,257","16.42","30,151","1.23",500,1.35,2198,NA
"126","111770","영원무역","코스피","유통업",36450,50,1615153008600,"2019-09-20","-",36550,"2,577","14.18","34,857","1.05",350,0.96,2174,NA
"127","011790","SKC","코스피","화학",42500,250,1595218587500,"2019-09-20","-",44050,"3,404","12.94","40,835","1.08",1000,2.27,2068,NA
"128","006260","LS","코스피","금융업",48750,600,1.56975e+12,"2019-09-20","-",49100,"14,555","3.37","98,249","0.5",1250,2.55,2033,NA
"129","004370","농심","코스피","음식료품",258000,5000,1569321636000,"2019-09-20","-",247000,"14,577","16.94","309,918","0.8",4000,1.62,2012,NA
"130","051600","한전KPS","코스피","건설업",34650,0,1.55925e+12,"2019-09-20","-",34400,"3,585","9.6","21,870","1.57",1790,5.2,2132,NA
"131","039490","키움증권","코스피","금융업",68800,100,1520462112000,"2019-09-20","-",69200,"7,230","9.57","80,397","0.86",1500,2.17,2124,NA
"132","056190","에스에프에이","코스닥","기계·장비",41800,-1200,1500986168000,"2019-09-20","-",43700,"4,556","9.59","21,857","2",1278,2.92,1225,NA
"133","009240","한샘","코스피","유통업",62600,100,1473223892800,"2019-09-20","-",62500,"5,103","12.25","24,407","2.56",1200,1.92,2051,NA
"134","294870","HDC현대산업개발","코스피","건설업",33000,-200,1449961260000,"2019-09-20","-",33250,"5,232","6.36","41,976","0.79",500,1.5,2212,NA
"135","010120","LS산전","코스피","전기전자",48100,-50,1.443e+12,"2019-09-20","-",48600,"4,486","10.83","43,150","1.13",1200,2.47,2058,NA
"136","034020","두산중공업","코스피","기계",7070,-130,1429178406250,"2019-09-20","-",6940,"-","-","18,609","0.37",0,0,2112,NA
"137","009420","한올바이오파마","코스피","의약품",27350,-350,1428781449300,"2019-09-20","-",28550,"64","446.09","2,238","12.76",0,0,2053,NA
"138","001740","SK네트웍스","코스피","유통업",5740,270,1424597093780,"2019-09-20","-",5330,"30","177.67","9,410","0.57",120,2.25,1356,NA
"139","006280","녹십자","코스피","의약품",120000,3000,1402384560000,"2019-09-20","-",117500,"3,017","38.95","90,669","1.3",1000,0.85,2034,NA
"140","007700","F&F","코스피","섬유의복",90400,-1500,1.39216e+12,"2019-09-20","-",89900,"7,089","12.68","25,593","3.51",650,0.72,2044,NA
"141","011210","현대위아","코스피","운수장비",50700,-200,1378790708100,"2019-09-20","-",49200,"-","-","111,672","0.44",600,1.22,2066,NA
"142","000240","한국테크놀로지그룹","코스피","금융업",14600,150,1358094525800,"2019-09-20","-",14600,"2,258","6.47","33,857","0.43",300,2.05,1960,NA
"143","240810","원익IPS","코스닥","IT H/W",27600,-450,1354715667600,"2019-09-20","-",28200,"2,105","13.4","8,946","3.15",220,0.78,1300,NA
"144","031430","신세계인터내셔날","코스피","유통업",189000,8500,1.34946e+12,"2019-09-20","-",179500,"8,052","22.29","76,024","2.36",850,0.47,2105,NA
"145","042670","두산인프라코어","코스피","기계",6410,-70,1334313798390,"2019-09-20","-",6430,"1,184","5.43","9,209","0.7",0,0,2126,NA
"146","214320","이노션","코스피","서비스업",66500,2500,1.33e+12,"2019-09-20","-",63700,"3,842","16.58","36,374","1.75",1500,2.35,2200,NA
"147","114090","GKL","코스피","서비스업",21150,250,1308247420500,"2019-09-20","-",20600,"1,257","16.39","9,087","2.27",710,3.45,2176,NA
"148","016380","동부제철","코스피","철강금속",13050,-1550,1305116105850,"2019-09-20","관리종목",13200,"-","-","6,630","1.99",0,0,2231,NA
"149","003240","태광산업","코스피","화학",1167000,-10000,1299337800000,"2019-09-20","-",1152000,"254,395","4.53","2,771,960","0.42",3000,0.26,1995,NA
"150","139130","DGB금융지주","코스피","금융업",7620,-40,1288891247460,"2019-09-20","-",7760,"2,233","3.48","25,684","0.3",360,4.64,2184,NA
"151","073240","금호타이어","코스피","화학",4465,85,1282617181455,"2019-09-20","-",4370,"-","-","4,919","0.89",0,0,2148,NA
"152","036830","솔브레인","코스닥","화학",72900,1300,1268333955900,"2019-09-20","-",73000,"5,872","12.43","41,701","1.75",750,1.03,1196,NA
"153","025980","아난티","코스닥","오락·문화",15000,-150,1264890165000,"2019-09-20","-",14900,"-","-","3,902","3.82",0,0,1175,NA
"154","068760","셀트리온제약","코스닥","제약",37000,-400,1261296885000,"2019-09-20","-",38000,"-","-","7,927","4.79",0,0,1244,NA
"155","098460","고영","코스닥","기계·장비",90700,2200,1242041355700,"2019-09-20","-",90500,"3,122","28.99","16,501","5.48",650,0.72,1270,NA
"156","078340","컴투스","코스닥","IT S/W & SVC",96200,800,1237749604000,"2019-09-20","-",95500,"10,358","9.22","65,600","1.46",1400,1.47,1249,NA
"157","181710","NHN","코스피","서비스업",63200,-300,1236509580000,"2019-09-20","-",62700,"4,682","13.39","80,873","0.78",0,0,2193,NA
"158","011200","현대상선","코스피","운수창고업",3825,5,1210812145875,"2019-09-20","-",3835,"-","-","3,290","1.17",0,0,1887,NA
"159","307950","현대오토에버","코스피","서비스업",57500,2100,1.2075e+12,"2019-09-20","-",55200,"2,614","21.12","21,602","2.56",690,1.25,1770,NA
"160","005440","현대그린푸드","코스피","유통업",12250,100,1196879904500,"2019-09-20","-",12000,"1,181","10.16","17,483","0.69",210,1.75,2021,NA
"161","004000","롯데정밀화학","코스피","화학",46000,-300,1.1868e+12,"2019-09-20","-",47300,"8,438","5.61","53,407","0.89",1700,3.59,2008,NA
"162","020560","아시아나항공","코스피","운수창고업",5340,-20,1181396469960,"2019-09-20","-",5400,"-","-","4,576","1.18",0,0,2088,NA
"163","120110","코오롱인더","코스피","화학",43600,550,1176277424000,"2019-09-20","-",43550,"2,252","19.34","70,480","0.62",900,2.07,2178,NA
"164","005850","에스엘","코스피","운수장비",23500,250,1132777009500,"2019-09-20","-",22750,"889","25.59","29,575","0.77",400,1.76,2027,NA
"165","175330","JB금융지주","코스피","금융업",5750,-60,1132651640500,"2019-09-20","-",5870,"1,391","4.22","15,898","0.37",180,3.07,2191,NA
"166","057050","현대홈쇼핑","코스피","유통업",93900,-500,1.1268e+12,"2019-09-20","-",95100,"14,252","6.67","140,375","0.68",1900,2,2137,NA
"167","005300","롯데칠성","코스피","음식료품",140500,1500,1123081130000,"2019-09-20","-",141500,"-","-","140,283","1.01",2700,1.91,2019,NA
"168","000670","영풍","코스피","철강금속",603000,6000,1110750120000,"2019-09-20","-",605000,"64,368","9.4","1,651,007","0.37",10000,1.65,1966,NA
"169","095700","제넥신","코스닥","기타서비스",51800,-500,1083694642800,"2019-09-20","-",53900,"-","-","14,152","3.81",0,0,1268,NA
"170","247540","에코프로비엠","코스닥","일반전기전자",52500,0,1079188215000,"2019-09-20","-",53300,"2,345","22.73","9,880","5.39",0,0,1304,NA
"171","218410","RFHIC","코스닥","일반전기전자",45150,-50,1071964935300,"2019-09-20","-",45350,"1,084","41.84","6,976","6.5",200,0.44,26,NA
"172","039030","이오테크닉스","코스닥","IT H/W",84500,-2000,1041001975000,"2019-09-20","-",87000,"1,778","48.93","30,383","2.86",100,0.11,1202,NA
"173","028150","GS홈쇼핑","코스닥","통신방송서비스",158300,-1900,1038843750000,"2019-09-20","-",159700,"21,838","7.31","165,849","0.96",7000,4.38,1177,NA
"174","001800","오리온홀딩스","코스피","금융업",16450,400,1030517191900,"2019-09-20","-",16250,"936","17.36","29,948","0.54",650,4,1982,NA
"175","192080","더블유게임즈","코스피","서비스업",56300,-500,1028066262600,"2019-09-20","-",57800,"5,279","10.95","28,402","2.04",350,0.61,2195,NA
"176","014820","동원시스템즈","코스피","화학",40000,50,1024740440000,"2019-09-20","-",39850,"2,079","19.17","16,402","2.43",500,1.25,2075,NA
"177","009410","태영건설","코스피","건설업",13350,50,1.01994e+12,"2019-09-20","-",13450,"2,770","4.86","12,847","1.05",125,0.93,2052,NA
"178","161890","한국콜마","코스피","화학",44350,100,1014780333000,"2019-09-20","-",44650,"1,954","22.85","19,616","2.28",330,0.74,2189,NA
"179","005250","녹십자홀딩스","코스피","서비스업",21250,-50,999349462500,"2019-09-20","-",21400,"406","52.71","16,235","1.32",250,1.17,2018,NA
"180","003690","코리안리","코스피","금융업",8030,-70,966564001480,"2019-09-20","-",8160,"810","10.07","18,590","0.44",275,3.37,2005,NA
"181","284740","쿠쿠홈시스","코스피","서비스업",42800,800,960317724000,"2019-09-20","-",40600,"1,534","26.47","16,568","2.45",560,1.38,1848,NA
"182","280360","롯데제과","코스피","음식료품",149500,0,959299191500,"2019-09-20","-",149500,"2,192","68.2","183,085","0.82",1300,0.87,1847,NA
"183","003380","하림지주","코스닥","금융",10100,190,945200399800,"2019-09-20","-",10100,"1,315","7.68","17,993","0.56",100,0.99,1157,NA
"184","003090","대웅","코스피","금융업",16250,-200,944807175000,"2019-09-20","-",16850,"692","24.35","9,797","1.72",100,0.59,1994,NA
"185","010780","아이에스동서","코스피","비금속광물",30450,-300,940679852700,"2019-09-20","-",30950,"7,961","3.89","34,573","0.9",1200,3.88,2062,NA
"186","052690","한전기술","코스피","서비스업",24450,0,9.34479e+11,"2019-09-20","-",22550,"340","66.32","12,072","1.87",140,0.62,2135,NA
"187","003000","부광약품","코스피","의약품",14550,100,924381389850,"2019-09-20","-",14700,"2,325","6.32","6,514","2.26",200,1.36,1993,NA
"188","014680","한솔케미칼","코스피","화학",81100,900,916040314500,"2019-09-20","-",80600,"6,354","12.68","33,624","2.4",1200,1.49,2074,NA
